Name,Md5,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsLength,SectionMeanEntropy,SectionMinEntropy,SectionMaxEntropy,SectionMeanRawsize,SectionMinRawsize,SectionMaxRawsize,SectionMeanVirtualsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMeanPhysical,SectionMinPhysical,SectionMaxPhysical,SectionMeanVirtualAddress,SectionMinVirtualAddress,SectionMaxVirtualAddress,SectionMeanPointerData,SectionMinPointerData,SectionMaxPointerData,SectionMeanChar,SectionMinChar,SectionMaxChar,SizeImageDirectoryEntryExport,RVAImageDirectoryEntryExport,SizeImageDirectoryEntryImport,RVAImageDirectoryEntryImport,SizeImageDirectoryEntryResource,RVAImageDirectoryEntryResource,SizeImageDirectoryEntryException,RVAImageDirectoryEntryException,SizeImageDirectoryEntrySecurity,RVAImageDirectoryEntrySecurity,SumImportFunction,SumImportFunctionMethod
VirusShare_126e17d9b096b8ecf9afcb89a43d35b7,126e17d9b096b8ecf9afcb89a43d35b7,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,272,34404,5,1244973624,0,0,240,35,523,9,0,608256,171008,0,129992,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,933888,1024,838919,2,33024,4194304,4096,4194304,4096,0,16,5,5.653081843545444,3.4515062753442884,7.470159843268711,166912.0,17408,608256,184152.4,27048,608044,184152.4,27048,608044,594739.2,4096,839680,553164.8,1024,742400,1610612793.6,1073741888,3221225536,0,0,340,689092,92760,839680,27048,811008,0,0,16,512
VirusShare_89a6428bb7e1174e9e4e8ac99f7b7af8,89a6428bb7e1174e9e4e8ac99f7b7af8,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,216,34404,5,1306431611,0,0,240,35,523,9,0,40960,9728,0,7792,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,65536,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,4.272585376124201,1.3631108828220078,6.9420523962241925,10137.6,1024,40960,9966.4,576,40924,9966.4,576,40924,44236.8,4096,61440,37478.4,1024,49152,1610612793.6,1073741888,3221225536,0,0,100,48064,2560,61440,576,57344,0,0,4,73
VirusShare_96a7f60ef339d586b35754cb8106dd86,96a7f60ef339d586b35754cb8106dd86,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1247529507,0,0,240,34,523,9,0,55296,416768,0,51656,4096,0,4294967296,4096,512,6,1,6,1,5,2,0,495616,1024,528139,2,32832,524288,8192,1048576,4096,0,16,5,4.8086434070983,0.20134432838821048,7.827381302228817,94412.8,512,412672,96081.6,324,413696,96081.6,324,413696,141721.6,4096,491520,129638.4,1024,472576,1617323680.0,1073741888,3221225536,0,0,160,54832,412204,77824,1404,73728,0,0,7,152
VirusShare_154ad2f8b8bf6df37e684e14b0ffe3f6,154ad2f8b8bf6df37e684e14b0ffe3f6,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1341571068,0,0,240,35,523,8,0,22016,16896,0,1073787261,4096,0,5368709120,4096,512,4,0,0,0,5,2,0,110592,1024,81114,2,32768,1048576,4096,1048576,4096,0,16,5,3.4068418262714415,0.0,6.049706990746517,7782.4,1024,22016,7866.6,712,21915,7866.6,712,21915,36044.8,4096,53248,751646412.8,1024,3758135296,1610612793.6,1073741888,3221225536,0,0,140,36560,712,53248,1764,49152,5536,39936,6,121
VirusShare_123c27059bb48cf72f253da31f67575f,123c27059bb48cf72f253da31f67575f,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,216,34404,7,1349932761,0,0,240,34,523,10,10,1024,3584,0,4104,4096,0,65536,4096,512,6,2,6,2,6,2,0,32768,1024,38015,1,0,262144,4096,1048576,4096,0,16,7,1.4437319677285985,0.23263253450968066,3.085628241444148,658.2857142857142,512,1536,293.2857142857143,24,1032,293.2857142857143,24,1032,16384.0,4096,28672,2706.285714285714,1024,5120,1931776640.0,1107296320,3791650848,0,0,60,20612,1032,24576,24,16384,0,0,2,2
VirusShare_082afd83fc8bfe64479651a7bc924a20,082afd83fc8bfe64479651a7bc924a20,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,264,34404,9,1346287712,0,0,240,34,523,10,0,626688,281600,0,484124,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,1245184,1024,940079,2,33088,1048576,4096,1048576,4096,0,16,9,4.563710938381415,0.020393135236084957,6.619251958536768,100920.88888888886,512,626688,135650.66666666663,29,626584,135650.66666666663,29,626584,971662.2222222221,4096,1232896,751502.2222222221,1024,897536,1554688743.1111114,536870976,3221225536,483,836864,160,828936,1504,1228800,36684,1171456,5656,909312,7,290
VirusShare_119c71e12bc9bf6b0f26d09c82d38d60,119c71e12bc9bf6b0f26d09c82d38d60,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,9,1269032360,0,0,240,34,523,10,0,101888,40960,0,121744,4096,0,65536,4096,512,6,1,6,1,6,1,0,163840,1024,150097,1,0,262144,4096,1048576,4096,0,16,9,4.051040271912732,0.001851451919150052,6.423531530050728,15587.555555555557,512,90112,15679.222222222224,910,89874,15679.222222222224,910,89874,108771.55555555556,4096,159744,98645.33333333331,1024,140288,2043092135.1111114,1107296320,3791650848,0,0,60,121776,1008,155648,3480,106496,7040,141312,2,109
VirusShare_678a52cc3c8ff5de68650ca429ccb39e,678a52cc3c8ff5de68650ca429ccb39e,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1331273205,0,0,240,35,523,8,0,521728,628736,0,1074900037,4096,0,5368709120,4096,512,4,0,0,0,5,2,0,2359296,1024,1213907,2,32768,1048576,4096,1048576,4096,0,16,5,4.094570063339569,0.0,6.301798838463973,230092.8,23552,521728,234975.0,34368,521487,234975.0,34368,521487,550502.4,4096,782336,752150835.2,1024,3758838784,1610612793.6,1073741888,3221225536,0,0,360,677768,409036,782336,34368,745472,6760,1151488,17,417
VirusShare_154ce466aedbe66ef86f6bc60b05c8be,154ce466aedbe66ef86f6bc60b05c8be,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,6,1309166792,0,0,240,34,523,10,0,102400,79872,0,38168,4096,0,5368709120,4096,512,5,2,0,0,5,2,0,208896,1024,207547,3,33088,1048576,4096,1048576,4096,0,16,6,1.074061514624464,0.0,6.444369087746785,30378.66666666667,1536,102400,31615.83333333333,1164,102107,31615.83333333333,1164,102107,131072.0,4096,204800,119381.33333333331,1024,181760,1526726714.6666667,1073741888,3221225536,0,0,100,137548,32944,167936,4416,159744,5512,183296,0,0
VirusShare_107ac0e409ded4e6bc358167f2b76e75,107ac0e409ded4e6bc358167f2b76e75,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,9,1343269383,0,0,240,34,523,10,10,242176,26624,0,186024,4096,0,65536,4096,512,6,2,6,2,6,2,0,294912,1024,326820,1,0,262144,4096,1048576,4096,0,16,9,5.124442200174856,2.1484828558525884,7.591805240385063,29809.777777777777,512,190976,29559.66666666667,444,190781,29559.66666666667,444,190781,217088.0,4096,290816,204117.3333333333,1024,268800,1860406890.6666667,1107296320,3791650848,0,0,100,283248,1080,286720,5136,221184,8432,269312,4,96
